"","Volume","Girth","Height","GirthHeight","Girth2","Girth2Height"
"1",10.3,8.3,70,581,68.89,4822.3
"2",10.3,8.6,65,559,73.96,4807.4
"3",10.2,8.8,63,554.4,77.44,4878.72
"4",16.4,10.5,72,756,110.25,7938
"5",18.8,10.7,81,866.7,114.49,9273.69
"6",19.7,10.8,83,896.4,116.64,9681.12
"7",15.6,11,66,726,121,7986
"8",18.2,11,75,825,121,9075
"9",22.6,11.1,80,888,123.21,9856.8
"10",19.9,11.2,75,840,125.44,9408
"11",24.2,11.3,79,892.7,127.69,10087.51
"12",21,11.4,76,866.4,129.96,9876.96
"13",21.4,11.4,76,866.4,129.96,9876.96
"14",21.3,11.7,69,807.3,136.89,9445.41
"15",19.1,12,75,900,144,10800
"16",22.2,12.9,74,954.6,166.41,12314.34
"17",33.8,12.9,85,1096.5,166.41,14144.85
"18",27.4,13.3,86,1143.8,176.89,15212.54
"19",25.7,13.7,71,972.7,187.69,13325.99
"20",24.9,13.8,64,883.2,190.44,12188.16
"21",34.5,14,78,1092,196,15288
"22",31.7,14.2,80,1136,201.64,16131.2
"23",36.3,14.5,74,1073,210.25,15558.5
"24",38.3,16,72,1152,256,18432
"25",42.6,16.3,77,1255.1,265.69,20458.13
"26",55.4,17.3,81,1401.3,299.29,24242.49
"27",55.7,17.5,82,1435,306.25,25112.5
"28",58.3,17.9,80,1432,320.41,25632.8
"29",51.5,18,80,1440,324,25920
"30",51,18,80,1440,324,25920
"31",77,20.6,87,1792.2,424.36,36919.32
